file_name,sentence,chinese
data/train/common_voice_ug_33427326.mp3,تۆۋەندىكى سۆزلەردىن پايدىلىنىپ جۈملە قۇراشتۇرۇپ بېقىڭ.,尝试用下面的单词造句。
data/train/common_voice_ug_35882738.mp3,ئاكام — ئوقۇتقۇچى، ئىككى بالىنىڭ دادىسى، ئالىي مەكتەپنى پۈتتۈرگەن بىلىملىك زىيالىي ئىدى.,我的兄弟是一名教师、两个孩子的父亲，也是一名受过大学教育的知识分子。
data/train/common_voice_ug_33758445.mp3,ئۆزگەرتىش ماڭا نىسبەتەن ھەقىقەتەن ئاسان ئەمەس.,改变对我来说并不容易。
data/train/common_voice_ug_27669141.mp3,ساغلاملىق مەركىزىدىكى مەسئۇل دوختۇر گېپىنى تۈگىتىپ تاماكىسىنى قاتتىق بىر شوراپ قويدى.,保健中心的主治医生说完，深深地吸了一口烟。
data/train/common_voice_ug_30417955.mp3,ئۇ بەزىدە مۇشۇنداق مىسكىن بولۇپ قالىدۇ.,他有时会很穷。
data/train/common_voice_ug_37304769.mp3,ئەڭ مۇھىم شەرتلەرنىڭ بىرى، ئۇيغۇر تىلىنى ناھايىتى پۇختا بىلىش.,最重要的条件之一是扎实的维吾尔语知识。
data/validation/common_voice_ug_27593405.mp3,ئېلېكتر زەنجىرى نەچچە قىسىمدىن تەشكىل تاپىدۇ؟,电路由几部分组成？
data/validation/common_voice_ug_33209111.mp3,ئەگەر ئالىملار بۇ خىل ھادىسىنىڭ ئاچقۇچىنى يېشەلىسە، بەلكىم كەلگۈسىدە ھەممە ئادەم ئېينىشتىيىن بولۇشى مۇمكىن,如果科学家能够解开这一现象的钥匙，也许未来人人都是爱因斯坦
data/train/common_voice_ug_33470545.mp3,ئۇ بىر دۆلەت. ئۇ دۆلەتتە بىر داڭلىق مۇنار بار.,这是一个国家。那个国家有一座著名的塔。
data/train/common_voice_ug_35054394.mp3,بىر كۈنى راستتىنلا بۆرە كەپتۇ.,有一天，一只狼真的来了。
data/train/common_voice_ug_34041638.mp3,ئادەم ئۆزىنىڭ ئېھتىياجلىرىنى دېيىش ھەم قاندۇرۇش ئارقىلىق ئۆز مەۋجۇتلۇقىنى ھېس قىلىدۇ.,人通过表达和满足他的需要来表达他的存在。
data/test/common_voice_ug_33419505.mp3,ئىككىلا تەرەپ بەك خۇشال، بەك رازى.,双方都很高兴、很满意。
data/train/common_voice_ug_26245834.mp3,ئۆزۈڭ قىڭغىر بولساڭمۇ؟ گېپىڭ تۈز بولسۇن.,如果你是个脾气暴躁的人怎么办？说实话。
data/train/common_voice_ug_33353519.mp3,ئۇ مېنى ئۆزگىرىپ كەتتى دەپ ئويلىدى، ماڭا ئىشەنمىدى.,他以为我变了，不相信我。
data/train/common_voice_ug_28019495.mp3,«ياخشى چارە ئىشنىڭ يېرىمى» ، «سەۋەب قىلساڭ سېۋەتتە سۇ توختايدۇ» دېگەن ماقاللارنى ئاڭلاپ باققانمۇ؟,您是否听过这样一句话：“措施到位，成功了一半”和“只要努力，篮子就会停下来”？
data/validation/common_voice_ug_32842783.mp3,ئويلا-ئويلا زەردە بولۇپ، قاپنى كۆتۈرگىنىچە يول بويىدىكى ئەخلەت ساندۇقىغا ئاپىرىپ تاشلىۋەتتى.,想了想，他拿起袋子，扔进了路边的垃圾桶里。
data/train/common_voice_ug_26265085.mp3,يايلاقلاردا ئوتلاپ يۈرگەن قوي، كالا، ئاتلارنى سۈرەتكە تارتىمەن.,我拍摄在牧场吃草的羊、牛和马。
data/validation/common_voice_ug_33684084.mp3,شۇ تەرىقىدە تۆت قېتىم ئۇخلاپ ئويغانغان پىلە قىز يەنە نەچچە كۈن ئۈجمە يوپۇرمىقى يېدى.,于是象女睡了四次就醒了，连续吃了几天桑叶。
data/train/common_voice_ug_27664746.mp3,بىز بۈگۈن كېچە شەھەرگە قايتىپ، رەخىمجان بىلەن مەسلىھەتلىشەيلى.,让我们今晚返回城市并与拉姆詹商量。
data/train/common_voice_ug_26254088.mp3,بوۋام ئۇنى ھەتتا ئۈچ ۋىلايەت ئىنقىلابىغا قاتناشقان يىگىتلىك چاغلىرىدىمۇ يېنىدىن ئايرىمىغان ئىكەن.,祖父年轻时参加三省革命，就从未离开过他的身边。
data/train/common_voice_ug_32841894.mp3,نېمانچە ئەخمەق ئادەم بۇ.,这是一个多么愚蠢的人啊。
data/train/common_voice_ug_33011861.mp3,مەلۇم بىر يىلى ئەتىياز مەزگىلى ئىدى.,有一年，正值春天。
data/train/common_voice_ug_36989728.mp3,مەن دۇنيادىكى بارچە مەغلۇبىيەتنى تېتىپ بېقىشقا رازىمەنكى، ھېچ ئىش قىلالماي ئاددىي ياشاشنى خالىمايمەن.,我愿意尝尽世间所有的失败，所以我不想过着简单的生活，无所事事。
data/test/common_voice_ug_26252818.mp3,«مەن ئەخمەق ئەمەستۇرمەن! دەپ ئويلاپتۇ بۇ ئەمەلدار، ئېھتىمال ئىقتىدارىم ئەمىلىمگە ماس كەلمىسە كېرەك.,“我不傻！军官想，也许我的技术与我的行动不符。
data/test/common_voice_ug_27078100.mp3,ئۆزۈڭدە يوق—ئالەمدە يوق.,不在你身上，也不在宇宙中。
data/train/common_voice_ug_33409043.mp3,ئاتىلىق يېتىم كۈل يېتىم، ئانىلىق يېتىم گۈل يېتىم.,父孤是灰孤，母孤是花孤。
data/test/common_voice_ug_26203091.mp3,مەززىسى يوق گەپتىن، پاقىنىڭ كۇرۇلدىشى ياخشى.,说实话比说坏话要好。
data/validation/common_voice_ug_26648580.mp3,رادىئولۇق ئۈنئالغۇ نېمە ئۈچۈن ناخشا ياڭرىتالايدۇ؟,收音机为什么可以播放音乐？
data/test/common_voice_ug_33868127.mp3,قۇياش، ئاي ۋە يۇلتۇزلار، شامال، چاقماق ۋە بۇلۇتلار، تاغ، دەريا ۋە دېڭىزلار تولىمۇ گۈزەل.,日月星辰，风雷云彩，山河大海，美不胜收。
data/train/common_voice_ug_26657764.mp3,-بوۋا، تۆگە كۆردىڭىزمۇ؟,- 爷爷，你见过骆驼吗？
data/train/common_voice_ug_26807107.mp3,ئۇيان بۇيان ئۆرۈلۈپ قاچان ئۇخلاپ قالغىنىمنى بىلەلمىدىم.,我不知道什么时候翻了个身就睡着了。
data/train/common_voice_ug_27512932.mp3,سۇدا پىشماي كىگىز بولماس، ئوتقا چۈشمەي بىگىز.,水不熟，火不熟。
data/train/common_voice_ug_33947797.mp3,بېشىڭنى يەنە قايتا ئىككى تىزىڭنى قۇچاقلاپ تۇرغان بىلىكىڭگە ئاستا قوياتتىڭ.,你轻轻地将头靠在手腕上，再次抱住膝盖。
data/test/common_voice_ug_26290041.mp3,كىشىنى كۆرەلمەسلىكنىڭ ئاقىۋەت پايدىسى نېمە؟ كىشىنى كۆرەلمىگۈچىلەنىڭ ئاقىۋىتى ئۆزىنى كېسەل قىلىشتۇر.,隐形的后果是什么？不宽容的后果就是自我疾病。
data/validation/common_voice_ug_33408622.mp3,ھەممىلا ئادەم ئەندىشىدە، دەككە-دۈككە ئىچىدە.,每个人都忧心忡忡、焦虑不安。
data/train/common_voice_ug_26521279.mp3,قۇۋ تۈلكە تۇمشۇقىدىن ئىلىنار. «تادان تۈلكە تۇمشۇقىدىن ئىلىنار.» قۇيرۇقىنى كۆتۈرگەن كالا، تېزەكلىمەي قالماس.,天鹅挂在狐狸的嘴上。 “塔丹将会被狐狸的嘴吊死。”尾巴翘起的牛将无法加速。
data/train/common_voice_ug_28980824.mp3,ئۆلگىنىمۇ، ھايات قالغىنىمۇ جەبىر جاپانىڭ قۇربانلىرىغۇ؟,死者和幸存者都是日本的受害者？
data/train/common_voice_ug_33998010.mp3,بېشىدىن يۇڭ ياغلىقىنى ئالدى ۋە نۇرىنىڭ مۈرىسىگە تايىنىپ مورا ئوچاق يېنىغا كېلىپ ئولتۇردى.,他摘下头上的羊毛，靠在努里的肩膀上，在壁炉边坐下。
data/test/common_voice_ug_33666408.mp3,ئاخىرقى سىناققا تېخىمۇ كۆپ ئەجىر سىڭدۈرۈشكە توغرا كېلىدۇ.,应更加重视期末考试。
data/train/common_voice_ug_26252507.mp3,ئالىمجان بۇ كەشپىياتى توغرۇلۇق ناھىيەگە ئەھۋال ئىنكاس قىلغان.,这位科学家向县里报告了这项发明。
data/train/common_voice_ug_27203457.mp3,يان ئۇدۇلدىن قارىسام مىنگەشكەن ھەيۋەت تاغلار، يىراق-يېقىندىن كۆرۈنەر ئېگىز-پەس تىك چوقىلار.,从侧面看去，山峦雄伟，远近可见险峻的山峰。
data/test/common_voice_ug_26366072.mp3,بىز سەھرادا تۇرىمىز، دېرىزىمىزنىڭ ئالدىدا پايانسىز يايلاق بار.,我们生活在沙漠里，窗前是一望无际的草地。
data/test/common_voice_ug_34260841.mp3,بەزى پىللار خارتۇملىرىنى ئېگىز كۆتۈرۈشۈپ جايىدا تۇرۇشسا بەزىلىرى ئۇياق-بۇياققا قارىشىپ ئارىسالدى بولدى.,一些大象抬起鼻子一动不动，另一些则环顾四周。
data/train/common_voice_ug_26281762.mp3,پادىشاھنى سەل سۈر بېسىپتۇ. چۈنكى ئۇنىڭغا پۇقرالارنىڭ گېپى توغرىدەك تۇيۇلۇپتۇ.,他把国王推开。因为在他看来，市民说的都是对的。
data/train/common_voice_ug_33719191.mp3,ئولتۇرسا ئوچاقنى ئۆرۈپتۇ، قوپسا مورىنى.,如果他坐下来，他就把炉子调大；如果他坐下来，他就把烟囱调大。
data/train/common_voice_ug_26309021.mp3,ئاي شارى توپا-توزان، تاغ جىنسلىرى ۋە ھالقىسىمان تاغلارغا تولغان ئىدى.,月亮上布满了灰尘、岩石和锯齿状的山脉。
data/train/common_voice_ug_33277981.mp3,شار بىردەم تىنچ تۇرغاندىن كىيىن بىر كۆتۈرۈلۈپ، بىر پەسىيىشكە باشلىدى.,平静了片刻后，气球开始上升和下降。
data/train/common_voice_ug_34464615.mp3,بۇ ئېغىر سومكىنى كۆتۈرۈپ ئۆيگە بارغۇچە تازا ھېرىپ كېتىدىغان بولدۇم-دە!,拎着这么重的包回到家，我已经累坏了！
data/validation/common_voice_ug_26753954.mp3,ئۈچ يىلدىن كېيىن مائارىپ ئامانىتىنىڭ ئۆسۈمى ۋە دەسمايىسى قوشۇلۇپ ئون مىڭ سوم بولىدۇ.,三年后，教育存款的利息和本金将达到一万索姆。
data/train/common_voice_ug_33486481.mp3,مەكتەپ مۇدىرىنىڭ سۆزى تۈگىشى بىلەن بالىلار چاۋاك چالدى.,校长讲话一结束，孩子们就鼓起掌来。
data/train/common_voice_ug_32827339.mp3,ھېچ ئىش يوق، يەنە بىر كەچكى قۇياشنى كۈتمەي ئامال يوق.,没关系，没办法再等到傍晚的太阳了。
data/train/common_voice_ug_26068982.mp3,«بۇنى قالايمىقان ئىشلەتسەم بولمايدۇ» دەپ ئويلاپتۇ قىزچاق.,“我不能滥用这个，”女孩想。
data/train/common_voice_ug_35154597.mp3,شۇڭا بەك ئۈمىدسىزلىنىپ كەتمەيلى. ئۈمىدۋار بولايلى، بۇ كۈنلەرمۇ ئۆتۈپ كېتەر.,所以我们不要太绝望。希望这些日子能够过去。
data/test/common_voice_ug_26090370.mp3,بۇنى تامامەن قوللايمەن.,我完全支持这一点。
data/test/common_voice_ug_34959840.mp3,ھاياتلىق ۋاقتىڭىز ئۆتۈپ كېتىۋاتىدۇ ، سېكۇنت سىزنىڭ بالىلىقىڭىز ، مىنۇت ياشلىقىڭىز ، سائەت قېرىلىقىڭىز.,你的生命正在流逝，几秒钟是你的童年，几分钟是你的青春，几小时是你的老年。
data/train/common_voice_ug_27496597.mp3,مۇشۇنداقمۇ بەتقىلىقلىق قىلامدۇ، ئۇلار ئەيمەنمەستىن ئوردىنى بۇلغاپتۇ.,他们要这么做吗？他们玷污了宫殿。
data/validation/common_voice_ug_26197446.mp3,بىر كۈن بۇرۇن تېرىساڭ، ئون كۈن بۇرۇن يىغىسەن.,早一天播种，就会早十天收获。
data/validation/common_voice_ug_27247436.mp3,بۇلار بىلەن كارىمىز يوق، نېمىلا بولمىسۇن قەرزنى قايتۇرمىساڭ بولمايدۇ.,我们和他们没有任何关系，你无论如何也无法还清债务。
data/validation/common_voice_ug_26261641.mp3,ئىش پەم بىلەن، ئىشىك دەم بىلەن.,有一张桌子和一扇门。
data/train/common_voice_ug_34194710.mp3,نۇربىيە مەملىكەتلىك مۇسابىقىگە تۆت قېتىم قاتناشتى.,努比亚曾四次参加全国比赛。
data/validation/common_voice_ug_28098878.mp3,ماۋۇ گىياھسىز قاقاسلىقنى كۆرۈڭ.,参见紫红色景天。
data/test/common_voice_ug_26467091.mp3,غوجىدار خانىم قىزنىڭ گېپىنى ئاڭلاپ، سەل باشقىچە بولۇپ قالدى.,侍女听到少女的话，脸色变得有些不一样了。
data/train/common_voice_ug_33329361.mp3,ئادەم دېگەنغۇ پۇلغا تويمايدىغان نەرسە.,一个人是不会满足于金钱的。
data/train/common_voice_ug_28226594.mp3,ئالدامچىلار رەخت توقۇش ئۈچۈن، يەنە نۇرغۇن پۇل، يىپەك ۋە ئالتۇن تەلەپ قىلىپتۇ.,骗子还索要大量的金钱、丝绸和黄金来织布。
data/train/common_voice_ug_33385285.mp3,ئۇزاققا بارمايلا ئۇ خەت ساۋاتىنى چىقىرىپ، كىتاب ئوقۇشقا كىرىشتى.,不久，他学会了读书和写字。
data/validation/common_voice_ug_26218218.mp3,ئاندىن ئۇ ھېلىقى ئىككى ھىيلىگەر تۇرغان جايغا بېرىپتۇ.,然后他就往那两个骗子所在的地方走去。
data/train/common_voice_ug_26189903.mp3,بېخىلدىن نان سورىغىنىڭ جان سورىغىنىڭ.,向乞丐索要面包，就等于索求生命。
data/train/common_voice_ug_27126112.mp3,خوتۇنۇڭنى ھەر ۋاقىت مۇھىم ئورۇنغا قويىسەن.,你总是把你的妻子放在第一位。
data/train/common_voice_ug_33787704.mp3,ھۈجەيرە تەكشۈرۈشىدە، ئۇنىڭ يۈز يىل بۇرۇن تۇغۇلغانلىقى ئىسپاتلانغان.,细胞检查证实他出生于一百年前。
data/validation/common_voice_ug_27747073.mp3,كەپە ئىچىدىكى بىر نەچچە ئاياللارنىڭلا كۈلكە ئارىلاش سۆزلىرى ئانچە-مۇنچە ئاڭلىنىپ تۇراتتى.,小屋里传来几个女人的笑声。
data/train/common_voice_ug_27472409.mp3,ئۇلار ھىيلە ئىشلىتىپ قار تېگىگە مۆكۈۋالىدۇ.,他们使用技巧到达雪底。
data/train/common_voice_ug_32868734.mp3,ئوقۇغۇچىلار ۋە بازاردىكى نۇرغۇن كىشىلەر ئۇلارنىڭ ئالدىغا ماڭدى.,学生和许多镇上的人走在他们前面。
data/train/common_voice_ug_30627262.mp3,بارلىق ياراشتۇرىدۇ، يوقلۇق تالاشتۇرىدۇ.,一切都调和，没有什么调和。
data/train/common_voice_ug_34742092.mp3,ئۇ كىمگە، قانداق خىيانەت قىپتۇ؟ دەلىل - ئىسپات بىلەن گەپ قىلىڭ.,他背叛了谁，又是如何背叛的？用证据说话。
data/train/common_voice_ug_33736188.mp3,ئاسىيلىق قىلىش ئادەمنى شۇنچە بىئارام قىلىدىكەن.,不服从真是令人沮丧。
data/train/common_voice_ug_26522303.mp3,سائەت جىرىڭلىدى، ئېلى تاتلىق ئۇيقۇدىن ئويغاندى.,钟声响起，伊莱从甜蜜的睡眠中醒来。
data/train/common_voice_ug_34428665.mp3,قۇمۇل، ئاراتۈرۈك، باركۆل.,哈穆尔、阿拉特鲁克、巴里坤。
data/train/common_voice_ug_35107796.mp3,شۇنىڭ بىلەن دەھشەتلىك قالايمىقانچىلىق باشلىنىپ كەتتى.,于是可怕的混乱开始了。
data/validation/common_voice_ug_32843416.mp3,تولىمۇ ئوڭايسىزلانغان ھالدا سۆزلەشكە باشلىدى.,开始说话很尴尬。
data/train/common_voice_ug_35107856.mp3,— ۋاپاسىز مۇناپىق! — دېدى رەيھان ئۇنىڭ ئارقىسىدىن نەپرەتلەنگەن ھالدا.,“你这个不忠的伪君子！”莱恩在他身后厌恶地说道。
data/validation/common_voice_ug_33209138.mp3,ھەتتا ئۆزىنى جاھانغا شۇ ئىش ئۈچۈنلا تۇغۇلغاندەك ئويلايتتى.,他甚至认为自己就是为了这个目的而降生到这个世界上的。
data/train/common_voice_ug_33388527.mp3,كۆرۈۋېلىشقا بولىدۇكى، دىستىلەنگەن سۇ بىلەن ئېتانول توك ئۆتكۈزمەيدۇ.,如您所见，蒸馏水和乙醇不导电。